id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
16032	genus	Capnocytophaga	14	3	4			3.57	0.49	[3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 3, 4]
16033	genus	Pararhodospirillum	1	1	1			1.00	0.00	[1]
16034	genus	Desulfitobacterium	4	5	8			6.38	0.96	[8, 6, 5, 6, 6]
16035	genus	Lysinibacillus	6	2	14			10.23	3.91	[10, 14, 12, 12, 12, 9, 12, 2, 11, 13]
16036	genus	Fibrella	1	3	3			3.00	0.00	[3]
16037	genus	Bifidobacterium	18	2	6			3.64	1.02	[4, 5, 4, 4, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 5, 5, 3, 4, 4, 4, 3, 3, 4, 4, 3, 4, 3, 5, 4, 4, 3, 3, 3, 2, 4, 3, 4, 2, 4, 4, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 5, 5, 4, 4, 4, 4, 4, 6, 4, 3, 4, 4, 4, 2, 2, 5, 4, 4, 2, 4]
16038	genus	Ilyobacter	1	8	8			8.00	0.00	[8]
16039	genus	Streptomyces	96	5	7			6.18	0.49	[6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 6, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 6, 6, 6, 7, 6, 7, 6, 7, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 5, 6, 6, 6, 7, 7, 6, 7, 7, 7, 6, 6, 7, 6, 6, 6, 6, 6, 5, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 6, 6, 7, 6, 6, 7, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 5, 7, 6, 7, 6, 6, 6, 6, 5, 7, 6, 6, 6, 6, 6, 7, 7, 6]
16040	genus	Candidatus Riesia	2	2	2			2.00	0.00	[2, 2]
16041	genus	Paenalcaligenes	1	3	3			3.00	0.00	[3]
16042	genus	Thermoplasma	2	1	1			1.00	0.00	[1, 1, 1]
16043	genus	Candidatus Blochmannia	6	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1]
16044	genus	Citromicrobium	1	1	1			1.00	0.00	[1]
16045	genus	Sebaldella	1	4	4			4.00	0.00	[4]
16046	genus	Solimonas	1	2	2			2.00	0.00	[2]
16047	genus	Nocardioides	3	2	3			2.67	0.47	[3, 3, 2]
16048	genus	Candidatus Mikella	1	1	1			1.00	0.00	[1]
16049	genus	Anaeromyxobacter	3	2	2			2.00	0.00	[2, 2, 2, 2]
16050	genus	Acholeplasma	6	2	4			2.33	0.75	[4, 2, 2, 2, 2, 2, 2]
16051	genus	Pediococcus	5	4	5			4.40	0.49	[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4]
16052	genus	Borreliella	7	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
16053	genus	Robiginitalea	1	2	2			2.00	0.00	[2]
16054	genus	Gallaecimonas	1	6	6			6.00	0.00	[6]
16055	genus	Roseomonas	2	5	5			5.00	0.00	[5, 5]
16056	genus	Desulfovibrio	10	2	7			3.72	1.42	[3, 5, 3, 3, 2, 3, 4, 3, 2, 7, 5, 4, 5, 5]
16057	genus	Basilea	1	3	3			3.00	0.00	[3]
16058	genus	Fastidiosipila	1	2	2			2.00	0.00	[2]
16059	genus	Syntrophobacter	1	2	2			2.00	0.00	[2]
16060	genus	Microcoleus	1	4	4			4.00	0.00	[4]
16061	genus	Candidatus Profftella	1	1	1			1.00	0.00	[1, 1]
16062	genus	Alcaligenes	1	3	3			3.00	0.00	[3, 3, 3, 3]
16063	genus	Nonlabens	4	2	3			2.75	0.43	[2, 3, 3, 3]
16064	genus	Bernardetia	1	3	3			3.00	0.00	[3]
16065	genus	Plantactinospora	3	1	3			1.67	0.94	[1, 1, 3]
16066	genus	Candidatus Walczuchella	1	1	1			1.00	0.00	[1]
16067	genus	Janibacter	1	2	2			2.00	0.00	[2]
16068	genus	Spiribacter	2	1	1			1.00	0.00	[1, 1]
16069	genus	Saccharothrix	1	4	4			4.00	0.00	[4]
16070	genus	Dyadobacter	1	4	4			4.00	0.00	[4]
16071	genus	Spiroplasma	25	1	2			1.14	0.33	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]
16072	genus	Corynebacterium	55	3	7			4.28	0.89	[3, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 6, 4, 4, 3, 6, 4, 4, 5, 3, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 5, 4, 6, 4, 5, 4, 4, 6, 6, 4, 4, 3, 5, 3, 4, 3, 3, 3, 4, 5, 4, 4, 4, 4]
16073	genus	Methylotenera	2	2	3			2.50	0.50	[2, 3]
16074	genus	Microcystis	2	2	2			2.00	0.00	[2, 2, 2, 2, 2]
16075	genus	Dermabacter	1	3	3			3.00	0.00	[3]
16076	genus	Thiohalobacter	1	1	1			1.00	0.00	[1]
16077	genus	Rubrivivax	1	3	3			3.00	0.00	[3]
